Label,Inductance,Deviation,Volume,Losses,Core Type
3758,0.0006142312681178203,9.00277509365626,3.108037022658705e-05,2.7418057745190736,PQ 35/35
3761,0.0006336638331106103,6.123876576205894,3.108037022658705e-05,2.8180595104489057,PQ 35/35
3785,0.0006081591728184331,9.902344767639544,3.108037022658705e-05,2.7165747257009154,PQ 35/35
3806,0.0005979885526357817,11.409103313217534,2.3350800864957557e-05,2.7606135955659483,PQ 32/20
3807,0.0005979885526357817,11.409103313217534,2.3350800864957557e-05,2.7606135955659483,PQ 32/20
3808,0.0005979885526357817,11.409103313217534,2.3350800864957557e-05,2.7606135955659483,PQ 32/20
3809,0.0005979885526357817,11.409103313217534,2.3350800864957557e-05,2.7606135955659483,PQ 32/20
3820,0.0005455395232198307,19.17932989335842,2.3350800864957557e-05,2.6823453534085684,PQ 32/20
3821,0.0005455395232198307,19.17932989335842,2.3350800864957557e-05,2.6823453534085684,PQ 32/20
3822,0.0005455395232198307,19.17932989335842,2.3350800864957557e-05,2.6823453534085684,PQ 32/20
3823,0.0005455395232198307,19.17932989335842,2.3350800864957557e-05,2.6823453534085684,PQ 32/20
3844,0.0005909469507791394,12.452303588275647,2.2483158260258385e-05,2.036352979027835,PQ 35/35
3847,0.0006015513968150735,10.88127454591504,3.108037022658705e-05,2.6961450911953957,PQ 35/35
3848,0.0006009089267065192,10.976455302737904,2.7506248397888617e-05,2.368158433871666,PQ 35/35
3894,0.0006000436274230549,11.104647789177058,2.0627460811361245e-05,2.53297577169285,PQ 32/20
3895,0.0006000436274230549,11.104647789177058,2.0627460811361245e-05,2.53297577169285,PQ 32/20
3896,0.0006000436274230549,11.104647789177058,2.0627460811361245e-05,2.53297577169285,PQ 32/20
3897,0.0006000436274230549,11.104647789177058,2.0627460811361245e-05,2.53297577169285,PQ 32/20
3909,0.0005947501692871071,11.888863809317467,3.108037022658705e-05,2.677912283738584,PQ 35/35
3921,0.0005537692045446327,17.960117845239605,2.2483158260258385e-05,1.9333435055127701,PQ 35/35
3922,0.0005925785734687246,12.210581708337099,2.3350800864957557e-05,2.748200650070266,PQ 32/20
3923,0.0005925785734687246,12.210581708337099,2.3350800864957557e-05,2.748200650070266,PQ 32/20
3924,0.0005925785734687246,12.210581708337099,2.3350800864957557e-05,2.748200650070266,PQ 32/20
3925,0.0005925785734687246,12.210581708337099,2.3350800864957557e-05,2.748200650070266,PQ 32/20
3978,0.000559881014791864,17.054664475279406,2.0627460811361245e-05,2.3830998771179797,PQ 32/20
3979,0.000559881014791864,17.054664475279406,2.0627460811361245e-05,2.3830998771179797,PQ 32/20
3980,0.000559881014791864,17.054664475279406,2.0627460811361245e-05,2.3830998771179797,PQ 32/20
3981,0.000559881014791864,17.054664475279406,2.0627460811361245e-05,2.3830998771179797,PQ 32/20
4005,0.0006312540235253798,6.480885403647439,2.2483158260258385e-05,2.1831182349225755,PQ 35/35
4011,0.0005879412964198607,12.897585715576199,3.108037022658705e-05,2.6622805744032103,PQ 35/35
4019,0.0005947276294778173,11.892203040323372,2.7506248397888617e-05,2.355421181507645,PQ 35/35
4021,0.0005872255929411117,13.003615860576048,2.3350800864957557e-05,2.761424396983317,PQ 32/20
4022,0.0005872255929411117,13.003615860576048,2.3350800864957557e-05,2.761424396983317,PQ 32/20
4023,0.0005872255929411117,13.003615860576048,2.3350800864957557e-05,2.761424396983317,PQ 32/20
4024,0.0005872255929411117,13.003615860576048,2.3350800864957557e-05,2.761424396983317,PQ 32/20
4099,0.0005417212997482416,19.74499262989013,2.3350800864957557e-05,2.67711113296469,PQ 32/20
4100,0.0005417212997482416,19.74499262989013,2.3350800864957557e-05,2.67711113296469,PQ 32/20
4101,0.0005417212997482416,19.74499262989013,2.3350800864957557e-05,2.67711113296469,PQ 32/20
4102,0.0005417212997482416,19.74499262989013,2.3350800864957557e-05,2.67711113296469,PQ 32/20
4121,0.0005828265595495456,13.65532451117843,3.108037022658705e-05,2.6056298594796408,PQ 35/35
4148,0.0005943487195818823,11.948337839721141,2.0627460811361245e-05,2.512505676424564,PQ 32/20
4149,0.0005943487195818823,11.948337839721141,2.0627460811361245e-05,2.512505676424564,PQ 32/20
4150,0.0005943487195818823,11.948337839721141,2.0627460811361245e-05,2.512505676424564,PQ 32/20
4151,0.0005943487195818823,11.948337839721141,2.0627460811361245e-05,2.512505676424564,PQ 32/20
4170,0.0005819559641317152,13.78430161011627,2.3350800864957557e-05,2.745816612675561,PQ 32/20
4171,0.0005819559641317152,13.78430161011627,2.3350800864957557e-05,2.745816612675561,PQ 32/20
4172,0.0005819559641317152,13.78430161011627,2.3350800864957557e-05,2.745816612675561,PQ 32/20
4173,0.0005819559641317152,13.78430161011627,2.3350800864957557e-05,2.745816612675561,PQ 32/20
4189,0.000588387521798016,12.831478252145775,2.7506248397888617e-05,2.34287237255048,PQ 35/35
4244,0.0005769927997028223,14.519585229211513,3.108037022658705e-05,2.57563874160324,PQ 35/35
4248,0.00058589481577919,13.2007680327126,2.2483158260258385e-05,2.033096017276768,PQ 35/35
4301,0.0005768390252161189,14.542366634649056,2.3350800864957557e-05,2.745949976371908,PQ 32/20
4302,0.0005768390252161189,14.542366634649056,2.3350800864957557e-05,2.745949976371908,PQ 32/20
4303,0.0005768390252161189,14.542366634649056,2.3350800864957557e-05,2.745949976371908,PQ 32/20
4304,0.0005768390252161189,14.542366634649056,2.3350800864957557e-05,2.745949976371908,PQ 32/20
